Number,Fact
1,1 is the number of dimensions of a line.
2,2 is the price in cents per acre the USA bought Alaska from Russia.
3,3 is the number of spatial dimensions we perceive our universe to have.
4,"4 is the number of strings on a violin, a viola, a cello, double bass, a cuatro and a ukulele, and the number of string pairs on a mandolin."
5,5 is the number of kyu (pupil) grades in judo.
6,6 is the number of orders of the Mishnah.
7,7 is the number of days in a week.
8,8 is the number of bits in a byte.
9,"9 is the number of innings in a regulation, non-tied game of baseball."
10,10 is the average thickness of the Arctic ice sheet in feet.
11,11 is the number of pounds one gallon of pure maple syrup weighs.
12,12 is the number of months in a year.
13,13 is the number of steps in the gallows.
14,14 is the minimum age at which one can work in many U.S states.
15,15 is the number of times an average person laughs a day.
16,16 is the minimum age for getting an adult job in most states and provinces across the globe.
17,17 is the maximum number of strokes of a Chinese radical.
18,"18 is the number of wheels on the most common type of North American tractor-trailer truck, which are hence often called 18-wheelers."
19,19 is the final year a person is a teenager.
20,20 is the number of baby teeth in the deciduous dentition.
21,21 is the number of trump cards of the tarot deck if one does not consider The Fool to be a proper trump card.
22,22 is the typical (minimum) number of episodes in a season for a television program broadcast on a major American network.
23,23 is the number of chromosomes normal human sex cells have.
24,24 is the number of a car in the NASCAR Sprint Cup Series owned by Hendrick Motorsports.
25,25 is the (critical) number of Florida electoral votes for the 2000 U.S. presidential election.
26,26 is the number of Cantons of Switzerland.
27,27 is the number of grains in some Buddhist rosary (108 divided by 4).
28,28 is the number of days the curing time of concrete is classically considered to be.
29,29 is the number of cups of milk needed to make one pound of butter.
30,30 is the number of variations in Bach's Goldberg Variations.
31,"31 is the number of days in the months January, March, May, July, August, October and December."
32,"32 is the number of completed, numbered piano sonatas by Ludwig van Beethoven."
33,"33 is the number of workers trapped, and also the number of survivors of the 2010 Copiapó mining accident."
34,34 is the lucky number of Victor Pelevin's protagonist Stepan Mikhailov in the novel Numbers.
35,35 is the minimum age of candidates for election to the United States Presidency.
